Part Name,Description,Quantity,Unit Price,Total Price,URL,Running Total
ESP32-WROOM-32E-N4,MCU,1,$3.22,$3.22,https://www.aliexpress.us/item/3256806057158706.html?utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005006243473458%7C_p_origin_prod%3A&algo_pvid=df30c4ff-dec8-4a3b-af10-f2fe7d864fab&algo_exp_id=df30c4ff-dec8-4a3b-af10-f2fe7d864fab&pdp_ext_f=%7B%22order%22%3A%22237%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.29%210.99%21%21%213.29%210.99%21%402103122117772588423246279e2c68%2112000052254647571%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A73118c74%3Bm03_new_user%3A-29895%3BpisId%3A5000000203712600&gatewayAdapt=4itemAdapt,$3.43
CP2102-GMR,USB to UART,1,$0.80,$0.80,https://www.alibaba.com/product-detail/New-and-Original-CP2102-GMR-Electronic_1601731751516.html?priceId=cb0ce5b769d94795981c469bdce9a953,$4.28
SD-6-B,SD Card Reader,1,$0.58,$0.58,https://www.sameskydevices.com/product/interconnect/connectors/memory-card-connectors/sd-card-connectors/sd-6-b?srsltid=AfmBOoril4IXa0zYMeqRdO9H5vuY9dfO0f5PHj1uIutQLSDhJAolr3nc,$4.90
1825910-6,6mm Button,6,$0.06,$0.34,https://www.aliexpress.us/item/3256805658758223.html?algo_pvid=5b5d2596-e29a-46b4-bfae-5d09a7e446dd&algo_exp_id=5b5d2596-e29a-46b4-bfae-5d09a7e446dd-16&pdp_ext_f=%7B%22order%22%3A%223214%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.09%210.99%21%21%211.09%210.99%21%402101e2b017785468262657316ef6b8%2112000034553364519%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1ae5c6f1%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537363&curPageLogUid=a4N1OIlqDFoz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005845072975%7C_p_origin_prod%3A,$5.26
PCM5102APWR,Audio Jack Controller,1,$1.00,$1.00,https://www.alibaba.com/product-detail/New-and-Original-MAX98357AETE-T-Electronic_1601732000471.html?priceId=2ccbc724114a490fb1ee81e4e230e6b8,$6.33
MAX98357AETE+T,Speaker Controller,1,$0.10,$0.10,https://www.alibaba.com/product-detail/New-and-Original-MAX98357AETE-T-Electronic_1601732000471.html?priceId=2ccbc724114a490fb1ee81e4e230e6b8,$6.44
SJ-3523-SMT-TR,Headphone Jack,1,$0.88,$0.88,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SJ-3523-SMT-TR/281297,$7.38
AI-4328-P-C120D-R,Speaker,1,$16.92,$16.92,https://www.digikey.com/en/products/detail/pui-audio-inc/ai-4328-p-c120d-r/1738481,$25.42
2477,Battery Holder,1,$1.87,$1.87,https://www.digikey.com/en/products/detail/keystone-electronics/2477/303822,$27.41
MCP1826S-3302E/AB,LDO,1,$0.66,$0.66,https://www.alibaba.com/product-detail/Electronic-Circuit-Components-MCP1826S-3302E-AB_1601731375638.html?priceId=8291b1507dca417ca7b029191e1e88de,$28.11
